朋友	没有	以前	心情	这么	别人	之前	每天	东西	喜欢	之后	无力	忍不住	那么	这种	一下	那个	生活	开始	开心	最近	最后	以后	中国	觉得	欢乐	奇葩	各种	看到	就是	妹子	有人	一些	今晚	昨天	为什么	歌手	时候	突然	什么	可以	那些	怎么	我们	地方	现在	今天	第一	出来	电影	无聊	同学	你们	继续	这样	发现	学校	晚上	大家	时间	知道	在微	应该	很多	结果	起来	感觉	老师	一起	一个	还有	这个	吐槽	事情	自己	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	2	1	1	29	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	5	2	1	1	1	3	3	4	4	1	1	24	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	3	5	1	1	20	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	4	1	1	1	1	1	1	1	3	1	1	2	1	1	1	4	1	1	1	3	3	7	1	3	7	1	1	1	4	4	4	8	3	1	9	1	2	1	1	1	1	1	1	1	1	1	3	3	4	1	1	5	1	1	4	3	1	1	1	3	4	1	4	1	1	3	1	1	1	1	1	3	1	
1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	3	1	2	2	1	1	1	2	2	1	4	2	1	11	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	4	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	
1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	6	1	1	23	1	2	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	2	2	1	1	1	2	2	1	2	4	1	1	1	1	1	1	1	1	1	2	1	2	1	5	2	1	1	2	2	2	2	10	2	1	21	1	2	1	1	1	1	1	1	1	1	1	1	1	3	2	1	4	1	1	1	2	1	2	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	8	1	1	1	1	2	1	1	1	1	1	1	3	1	6	2	1	1	1	3	3	2	11	3	1	20	1	3	1	1	2	1	1	1	1	1	2	1	2	8	3	1	5	1	1	2	3	1	1	1	1	3	1	3	2	1	2	1	1	1	1	1	1	1	
1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	2	3	1	1	1	1	1	4	1	3	2	1	1	1	3	3	5	9	2	1	13	1	1	1	1	2	1	1	1	1	1	1	1	1	3	2	1	3	1	1	3	5	1	2	1	2	1	2	1	1	1	2	1	1	2	1	1	2	1	
1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	5	1	8	1	1	1	1	3	2	2	8	3	1	11	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1	10	1	1	1	1	1	1	2	13	1	1	20	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	2	1	1	1	1	1	2	1	12	1	1	1	1	2	5	2	10	2	1	19	1	2	1	1	1	1	1	1	1	1	1	1	1	5	1	1	4	1	1	2	2	1	1	1	2	4	1	1	1	1	1	1	1	1	1	1	1	1	
